checkpoint,run_name,model_name,checkpoint_epoch,split,accuracy,precision,recall,f1,macro_f1,sensitivity_pneumonia,specificity_normal,tn,fp,fn,tp,roc_auc,average_precision
models\checkpoints\baseline_cnn_v1_best.pt,baseline_cnn_v1,baseline_cnn,10,val,0.9486215538847118,0.9500805152979066,0.9833333333333333,0.9664209664209664,0.9285438165438166,0.9833333333333333,0.8434343434343434,167,31,10,590,0.9897138047138048,0.996651931276916
models\checkpoints\baseline_cnn_v1_best.pt,baseline_cnn_v1,baseline_cnn,10,test,0.7788461538461539,0.7395437262357415,0.9974358974358974,0.8493449781659389,0.7168411637817647,0.9974358974358974,0.41452991452991456,97,137,1,389,0.9193184308568924,0.926509968487601
models\checkpoints\resnet18_finetune_v1_best.pt,resnet18_finetune_v1,resnet18,8,val,0.974937343358396,0.9915254237288136,0.975,0.9831932773109243,0.966966096783541,0.975,0.9747474747474747,193,5,15,585,0.9968181818181818,0.9989475917621369
models\checkpoints\resnet18_finetune_v1_best.pt,resnet18_finetune_v1,resnet18,8,test,0.8878205128205128,0.8555555555555555,0.9871794871794872,0.9166666666666666,0.8725490196078431,0.9871794871794872,0.7222222222222222,169,65,5,385,0.9714716195485427,0.9750169543079172
