epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_macro_f1,val_sensitivity_pneumonia,val_specificity_normal,val_tn,val_fp,val_fn,val_tp,val_roc_auc,val_average_precision
1,0.10879948161698687,0.9611528822055138,0.9813874788494078,0.9666666666666667,0.9739714525608733,0.948714121342165,0.9666666666666667,0.9444444444444444,187,11,20,580,0.9917003367003367,0.9973791087919608
2,0.07418068271528562,0.9724310776942355,0.9931740614334471,0.97,0.9814502529510961,0.9638958581828652,0.97,0.9797979797979798,194,4,18,582,0.9953030303030302,0.9985407845428531
3,0.05488720174457073,0.9649122807017544,0.993103448275862,0.96,0.976271186440678,0.9544817470664928,0.96,0.9797979797979798,194,4,24,576,0.9951599326599327,0.9984295892948702
4,0.046967386395364234,0.9711779448621554,0.9898132427843803,0.9716666666666667,0.9806560134566863,0.962072478472815,0.9716666666666667,0.9696969696969697,192,6,17,583,0.9948569023569024,0.9982713799689558
5,0.03997869113320296,0.974937343358396,0.9849498327759197,0.9816666666666667,0.9833055091819699,0.9665271264502815,0.9816666666666667,0.9545454545454546,189,9,11,589,0.9966666666666667,0.9989411245808039
6,0.03343515552393,0.9699248120300752,0.9931506849315068,0.9666666666666667,0.9797297297297297,0.9607386512726319,0.9666666666666667,0.9797979797979798,194,4,20,580,0.9967929292929293,0.9989836019368865
7,0.03467935985445997,0.9711779448621554,0.9965576592082617,0.965,0.9805249788314987,0.9625516460422554,0.965,0.98989898989899,196,2,21,579,0.9965824915824916,0.9988786377630654
8,0.02060864066625712,0.974937343358396,0.9915254237288136,0.975,0.9831932773109243,0.966966096783541,0.975,0.9747474747474747,193,5,15,585,0.9968181818181818,0.9989475917621369
