epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_macro_f1,val_sensitivity_pneumonia,val_specificity_normal,val_tn,val_fp,val_fn,val_tp,val_roc_auc,val_average_precision
1,0.3744656429749972,0.8634085213032582,0.9842209072978304,0.8316666666666667,0.9015356820234869,0.8393158982714571,0.8316666666666667,0.9595959595959596,190,8,101,499,0.9667845117845116,0.9888726434514477
2,0.2259783408813343,0.899749373433584,0.983271375464684,0.8816666666666667,0.929701230228471,0.8775143705727508,0.8816666666666667,0.9545454545454546,189,9,71,529,0.9722643097643098,0.9908477357438643
3,0.190177096962176,0.9160401002506265,0.9801801801801802,0.9066666666666666,0.941991341991342,0.8950319521748094,0.9066666666666666,0.9444444444444444,187,11,56,544,0.9746801346801347,0.9917248196818331
4,0.17401330478163415,0.9197994987468672,0.9802867383512545,0.9116666666666666,0.9447322970639033,0.8993067878013581,0.9116666666666666,0.9444444444444444,187,11,53,547,0.976489898989899,0.9922559437155225
5,0.17883900540217548,0.924812030075188,0.9753521126760564,0.9233333333333333,0.9486301369863014,0.9042216105492255,0.9233333333333333,0.9292929292929293,184,14,46,554,0.9779040404040406,0.992766135895114
